rank,name,domain,category,opt_out_url,email,phone,opt_out_hub,leverage,priority_score,sensitivity_score,onward_sale_score,ca_registered,collects_minors,sold_to_genai,sold_to_law_enforcement,deletion_requests_received,deletion_compliance_rate,deletion_median_response_days,removal_method,sources
1,Whitepages,whitepages.com,people-search,https://www.whitepages.com/suppression-requests,legal@whitepages.com,2067465409,,1,81.8,0,0,True,,,,5879,0.969,1.0,form,curated|cppa-registry-current|cppa-registry-historical
2,SocialCatfish,socialcatfish.com,people-search,https://socialcatfish.com/opt-out/,david@socialcatfish.com,8444228347,,1,81.3,0,0,True,,,,3330,0.538,7.0,form,curated|cppa-registry-current|cppa-registry-historical
3,SpyCloud Inc.,spycloud.com,,https://spycloud.com/legal/privacy-policy/,privacy@spycloud.com,800-513-2502,,1,78.1,3,2,True,True,False,True,2611,0.0,0.0,,cppa-registry-current|cppa-registry-historical
4,MyLife,mylife.com,people-search,https://www.mylife.com/privacyrequest,privacy@mylife.com,8884661066,,1,77.0,0,0,True,,,,37196,0.986,2.0,form,curated|cppa-registry-current
5,Moody's Corporation,moodys.com,,https://www.moodys.com/web/en/us/legal/privacy-policy.html,privacy@moodys.com,2125531653,,1,75.3,0,4,True,False,True,True,1533,0.011,14.0,,cppa-registry-current
6,"DTN, LLC",dtn.com,,www.dtn.com,legal@dtn.com,8004854000,,1,72.7,1,2,True,False,False,True,6218,0.003,12.0,,cppa-registry-current|cppa-registry-historical
7,Zeta Global,zetaglobal.com,,www.zetaglobal.com,privacy@zetaglobal.com,212-967-5055,,1,69.3,2,0,True,False,False,False,137625,0.2,62.0,,cppa-registry-current|cppa-registry-historical
8,FamilyTreeNow,familytreenow.com,people-search,https://www.familytreenow.com/optout,support@familytreenow.com,8778384889,,1,68.8,0,0,True,,,,631,1.0,1.0,form,curated|cppa-registry-current
9,HealthWise Data,healthwisedata.com,,https://www.healthwisedata.com,privacy@healthwisedata.com,844-494-5444,,1,67.2,1,0,True,False,False,False,98275,0.098,14.0,,cppa-registry-current|cppa-registry-historical
10,VisitIQ LLC,visitiq.io,,https://visitiq.io/opt-out/,james.dunay@visitiq.io,5405536133,,1,66.7,1,0,True,False,False,False,363368,0.251,30.0,,cppa-registry-current
11,"Effyis, Inc.",socialgist.ai,,https://www.socialgist.ai/privacy-and-terms,cwolfe@socialgist.com,2483186684,,1,66.6,0,2,True,False,True,False,1609,0.0,1.0,,cppa-registry-current
12,Spokeo,spokeo.com,people-search,https://www.spokeo.com/optout,privacy@spokeo.com,,spokeo.com,2,65.4,0,0,True,,,,,,,form,curated|cppa-registry-historical
13,33 Mile Radius LLC,33mileradius.com,,www.33mileradius.com,operations@ignitevisibility.com,(619) 752-1955,,1,64.7,0,0,True,False,False,False,62584,0.006,12.0,,cppa-registry-current|cppa-registry-historical
14,"Datalink Services, Inc",transunion.com,,www.transunion.com,privacy@transunion.com,866-310-8783,,1,64.6,5,2,True,True,True,False,1057,0.936,41.0,,cppa-registry-current|cppa-registry-historical
15,"Enformion, LLC",enformion.com; tracers.com; go.enformion.com,,https://www.enformion.com/privacy-policy/,support@enformion.com,8552813915,,1,64.6,2,2,True,False,False,True,80683,0.834,31.0,,cppa-registry-current
16,"Live Data Technologies, Inc.",livedatatechnologies.com,,https://www.livedatatechnologies.com/opt-out,remove@livedatatechnologies.com,8055003293,,1,64.2,0,0,True,False,False,False,45865,0.0,172.0,,cppa-registry-current|cppa-registry-historical
17,That's Them,thatsthem.com,people-search,https://thatsthem.com/optout,optout@thatsthem.com,,,1,64.2,0,0,,,,,,,,form,curated
18,TruePeopleSearch,truepeoplesearch.com,people-search,https://www.truepeoplesearch.com/removal,support@truepeoplesearch.com,8888384803,,1,64.2,0,0,True,,,,,,,form,curated|cppa-registry-current
19,"MaxMind, Inc.",maxmind.com,,https://www.maxmind.com/en/privacy-policy,tgonzalez@maxmind.com,617-500-4493,,1,63.4,0,4,True,False,True,True,87252,1.0,4.0,,cppa-registry-current|cppa-registry-historical
20,Convex Labs LLC,convex.com,,https://www.convex.com,support@convexlabs.io,8558990970,,1,63.3,0,0,True,False,False,False,35214,0.019,7.0,,cppa-registry-current|cppa-registry-historical
21,LexisNexis Risk Solutions FL Inc.,risk.lexisnexis.com,,https://risk.lexisnexis.com/state-privacy-act-notice,consumer.documents@lexisnexisrisk.com,888-217-1591,,1,61.3,3,2,True,True,False,True,12769,0.994,1.0,,cppa-registry-current|cppa-registry-historical
22,"Austin Consolidated Holdings, Inc.",equifax.com,,https://www.equifax.com/personal/my-privacy/,usprivacy@equifax.com,8662956801,equifax.com,2,61.2,3,3,True,True,True,True,685,1.0,1.0,,cppa-registry-current
23,Instant Checkmate,instantcheckmate.com,people-search,https://suppression.peopleconnect.us,support@instantcheckmate.com,,suppression.peopleconnect.us,5,61.0,0,0,True,,,,,,,form,curated|cppa-registry-historical
24,Intelius,intelius.com,people-search,https://suppression.peopleconnect.us,privacy@intelius.com,,suppression.peopleconnect.us,5,61.0,0,0,True,,,,,,,form,curated|cppa-registry-historical
25,TruthFinder,truthfinder.com,people-search,https://suppression.peopleconnect.us,help@truthfinder.com,,suppression.peopleconnect.us,5,61.0,0,0,True,,,,,,,form,curated|cppa-registry-historical
26,DealerX Partners LLC,dealerx.com,,https://dealerx.com/privacy-options/,privacy@dealerx.com,844-466-4440,,1,60.8,0,0,True,False,False,False,11541,0.033,1.0,,cppa-registry-current|cppa-registry-historical
27,MarketOps LLC,marketops.com,,https://marketops.com/privacy-options/,privacy@marketops.com,844-446-4440,,1,60.8,0,0,True,False,False,False,11541,0.033,1.0,,cppa-registry-current
28,Online Advertising Network sp. z o.o.,oan.pl; https,,https://oan.pl/do-not-sell-my-personal-info/,privacy@oan.pl,606414898,,1,60.5,0,0,True,False,False,False,6879,0.0,48.0,,cppa-registry-current
29,Cyber Background Checks,cyberbackgroundchecks.com,people-search,https://www.cyberbackgroundchecks.com/removal,,,,1,60.2,0,0,,,,,,,,form,curated
30,Equifax Workforce Solutions LLC,theworknumber.com,,https://www.equifax.com/personal/my-privacy/,usprivacy@equifax.com,1-866-295-6801,equifax.com,2,60.2,4,2,True,True,False,True,685,1.0,1.0,,cppa-registry-current|cppa-registry-historical
31,FastPeopleSearch,fastpeoplesearch.com,people-search,https://www.fastpeoplesearch.com/optout,,,,1,60.2,0,0,,,,,,,,form,curated
32,"Apollo Interactive, LLC",apollointeractive.com; http,,https://www.apollointeractive.com/privacy-policy.php,deatherage@apollointeractive.com,(310) 836-9777,,1,60.0,0,0,True,False,False,False,15040,0.1,1.0,,cppa-registry-current
33,Keyword Connects LLC,keywordconnects.com,,https://keywordconnects.com/,operations@ignitevisibility.com,(619) 752-1955,,1,59.9,0,0,True,False,False,False,5201,0.0,20.0,,cppa-registry-current|cppa-registry-historical
34,CheckPeople,checkpeople.com,people-search,https://checkpeople.com/opt-out,support@checkpeople.com,(561) 461-8439,,1,59.7,1,0,True,,,,,,,form,curated|cppa-registry-current
35,Unmask,unmask.com,people-search,https://unmask.com/opt-out/,compliance@unmask.com,3213766933,,1,59.7,1,0,True,,,,,,,form,curated|cppa-registry-current
36,NumLookup,numlookup.com,phone-directory,https://www.numlookup.com/opt_out,hello@numlookup.com,4088632316,,1,59.6,0,0,True,,,,94071,1.0,20.0,form,curated|cppa-registry-current
37,VRTCAL Markets Inc.,vrtcal.com,,https://www.vrtcal.com/docs/PrivacyPolicy-Advertising.pdf,privacy@vrtcal.com,805 979 9080,,1,59.5,2,0,True,True,False,False,812,0.0,1.0,,cppa-registry-current|cppa-registry-historical
38,"Semcasting, Inc.",semcasting.com,,https://privacychoice.com/,jgreer@semcasting.com,9786847580,,1,59.0,1,1,True,False,False,False,932924,0.954,3.0,,cppa-registry-current|cppa-registry-historical
39,West Publishing Corp,thomsonreuters.com,,https://www.thomsonreuters.com/en/privacy-statement,privacy.enquiries@thomsonreuters.com,6516877000,,1,58.7,1,3,True,False,True,True,590,0.486,29.0,,cppa-registry-current|cppa-registry-historical
40,Sterling Data Company LLC,sterling.ai,,sterling.ai,privacy@sterling.ai,2027018709,,1,58.6,0,0,True,False,False,False,7390,0.1,15.0,,cppa-registry-current
41,Evorra Ltd,evorra.com,,https://evorra.com/privacy-data-policies/product-privacy-policy/,privacy@evorra.com,2081453391,,1,58.4,0,1,True,False,False,False,2355,0.226,9.0,,cppa-registry-current
