Data Broker Name,Email Address,Website URL,Physical Address,How a consumer may opt out of sale or submit requests under the CCPA,How a protected individual can demand deletion of information posted online under Gov. Code sections 6208.1(b) or 6254.21(c)(1),Additional information about data collecting practices,Date Added
"Exponential Interactive, Inc. doing business as VDX.tv",privacy [at] VDX.tv,http://vdx.tv,"2340 Powell Street, #378, Emeryville, CA 94608, United States","7.	CONTACT INFORMATION, , Please contact us with any questions or concerns about this Policy using the information below:, , United States Address, Exponential Interactive, Inc. doing business as VDX.tv, Attn: Legal Department, 5858 Horton Street, Suite 300, Emeryville, CA 94608, , United Kingdom Address, Exponential Interactive, Inc., Attn: Data Privacy Officer, 30 Stamford Street, London, SE19LQ, , Email , privacy@vdx.tv, , Phone, (510) 250-5500, , To protect the security of your information, we will take steps as we deem necessary to confirm your identity before completing your request or sharing any personal information with you., ","7.	CONTACT INFORMATION, , Please contact us with any questions or concerns about this Policy using the information below:, , United States Address, Exponential Interactive, Inc. doing business as VDX.tv, Attn: Legal Department, 5858 Horton Street, Suite 300, Emeryville, CA 94608, , United Kingdom Address, Exponential Interactive, Inc., Attn: Data Privacy Officer, 30 Stamford Street, London, SE19LQ, , Email , privacy@vdx.tv, , Phone, (510) 250-5500, , To protect the security of your information, we will take steps as we deem necessary to confirm your identity before completing your request or sharing any personal information with you., ",N/A.,1/29/2020
The Alesco Group LLC,michael [at] alescodata.com,http://Alescodata.com,"5276 Summerlin Commons Way, 703, Fort Myers, FL 33907, United States",MyDataPrivacy.com,MyDataPrivacy.com,,1/30/2020
Response Solutions Group LLC,michael [at] alescodata.com,http://responsesoulutionsllc.com,"5276 Summerlin Commons Way, 703, Fort Myers, FL 33907, United States",MyDataPrivacy.com,MyDataPrivacy.com,,1/30/2020
Stat Resource Group LLC DBA Statlistics,michael [at] alescodata.com,http://statlistics.com,"5276 Summerlin Commons Way, 703, Fort Myers, FL 33907, United States",MyDataPrivacy.com,MyDataPrivacy.com,,1/30/2020
ZoomInfo,privacy [at] zoominfo.com,http://www.zoominfo.com,"805 Broadway, #900, Vancouver, WA 98660, United States","Consumers may manage their data management preferences through our comprehensive privacy center: , https://www.zoominfo.com/about-zoominfo/privacy-center","Consumers may manage their data management preferences through our comprehensive privacy center: , https://www.zoominfo.com/about-zoominfo/privacy-center","Our data collection and management practices can be located here: , https://www.zoominfo.com/business/about-zoominfo/privacy-policy",1/29/2020
"Blue Hill Marketing Solutions, inc",dataprivacy [at] liftbasedata.com,http://www.liftengine.com,"1 Blue Hill Plaza, PO Box 1509, Pearl River, NY 10965, United States",Complete a form at https://www.liftbasedata.com/request-to-know/,https://www.liftbasedata.com/request-to-know/,,1/22/2020
"Spy Dialer, Inc. dba SpyDialer.com",info [at] spydialer.com,https://www.spydialer.com,"32605 Temecula Pkwy, Suite 216, Temecula, CA 92592, United States","Go to spydialer.com, then click the link ""Do Not Sell My Info"".","Go to spydialer.com, then click the link ""Remove My Info"".","SpyDialer.com collects public data and uses it to provide the public free reverse phone lookups.  The data helps site users to protect their privacy by allowing them to check the identity of callers making unwanted, missed or harassing phone calls. The site also allows anyone who wants to remove their personal data to do so -- no questions asked. ",1/16/2020
"First Orion, Inc. ",cdenton [at] firstorion.com,http://www.firstorion.com,"500 President Clinton Ave, Ste. 215, Little Rock, AR 72201, United States","First Orion provides a website where a consumer can exercise their rights to Access, Delete & Opt-Out for our Call Knowledge products at privacy.firstorion.com.  The website can also be found on our company website in the footer at the link â€˜Do Not Sell My Personal Informationâ€™. If the consumer does not have access to a computer or email address, then they can opt-out via postal mail at First Orion Compliance Department, ATTN: Opt-Out, 500 President Clinton Avenue, Ste. 215, Little Rock, AR 72201 or by calling the following toll free number 1.877.640.4220., ",First Orion does not post any consumer information online. ,"First Orionâ€™s products and services include various features and functionality to tell you who is calling and why, identify and block businesses who are likely scammers, do reverse telephone number lookups, file complaints, report call violations to the proper authorities, and provide enhanced information that can be displayed on your device. Some of these services are provided through our telecommunications carrier clients, while others are delivered directly to the consumer via our apps.  In addition, our Call Knowledge Suite helps companies verify who that phone number belongs to, what type of device it is, and whether a number is in service. To learn more visit our US Privacy Policy at https://firstorion.com/privacy-policy/. , ",1/30/2020
"Oracle America, Inc., Oracle Data Cloud  ",privacy_ww [at] oracle.com ,http://www.oracle.com,"500 Oracle Pkwy, Redwood City, CA 94065, United States","The Oracle Data Cloud (â€œODCâ€) provides opt-out options in the ODC Privacy Policy, available at https://www.oracle.com/legal/privacy/marketing-cloud-data-cloud-privacy-policy.html#12. Consumers can also opt out with the ODC at https://datacloudoptout.oracle.com/.   ","Individuals can request deletion of all their online and offline information by opting out of ODC services using the ODC opt-out tool available at https://datacloudoptout.oracle.com/.  , ",Detailed information on the ODCâ€™s processing practices for consumer data is available at https://www.oracle.com/legal/privacy/marketing-cloud-data-cloud-privacy-policy.html. ,3/11/2020
Semasio GmbH,info [at] semasio.com,http://www.semasio.com,"Hermannstrasse 13, 200095 Hamburg, Germany","We have provided a direct opt-out functionality on our website https://www.semasio.com/privacy/optout where we also request whether the opt out is being performed under CCPA. Internet users can perform their right for information on https://me.semasio.net/right-for-information/. Further information on how we handle data is accessible at https://www.semasio.com/privacy., ",If the individual opts out the data is not being used anymore and deleted.,We receive cookie IDs and visited URLs which we use for profile building. We do not match that information with any other PII.,1/14/2020
"Blackbaud, Inc. ",privacy [at] blackbaud.com,http://blackbaud.com,"65 Fairchild St., Charleston, SC 29492, United States",Individuals can exercise their rights with respect to their personal data we control by visiting our CCPA page (https://www.blackbaud.com/company/Data-Subject-Rights-Request) or by calling Toll-Free Phone Number: +1 (844) 532-0022. ,Individuals can exercise their rights with respect to their personal data we control by visiting our CCPA page (https://www.blackbaud.com/company/Data-Subject-Rights-Request) or by calling Toll-Free Phone Number: +1 (844) 532-0022. ,,1/31/2020
Lender Feed LC,CCPA [at] monitorbase.com,https://ww3.monitorbase.com/,"310 E 4500 S, 270, Murray, UT 84107, United States","You may request to exercise your rights by:, , Calling us at (888) 795-6575, By submitting the form at this link: https://ww3.monitorbase.com/california-privacy-notice-ccpa, , Only you may make a verifiable consumer request related to your personal information. You may also make a verifiable consumer request on behalf of your minor child., , You may only make a verifiable request to exercise your rights twice within a 12-month period. The verifiable consumer request must:, , Provide sufficient information that allows us to reasonably verify you are the person about whom we collected personal information or an authorized representative., Describe your request with sufficient detail that allows us to properly understand, evaluate, and respond to it., , As required by law, we may take steps to verify your identity before granting you access to your information or completing your request to exercise your rights.  We will respond to your request within 45 days of your request submission view email response or written format via mail.  We do not charge a fee for processing your request to exercise your rights.","You may request to exercise your rights by:, , Calling us at (888) 795-6575, By submitting the form at this link: https://ww3.monitorbase.com/california-privacy-notice-ccpa, , Only you may make a verifiable consumer request related to your personal information. You may also make a verifiable consumer request on behalf of your minor child., , You may only make a verifiable request to exercise your rights twice within a 12-month period. The verifiable consumer request must:, , Provide sufficient information that allows us to reasonably verify you are the person about whom we collected personal information or an authorized representative., Describe your request with sufficient detail that allows us to properly understand, evaluate, and respond to it., , As required by law, we may take steps to verify your identity before granting you access to your information or completing your request to exercise your rights.  We will respond to your request within 45 days of your request submission view email response or written format via mail.  We do not charge a fee for processing your request to exercise your rights.",MonitorBase does not collect information directly from consumers. We are a business-to-business software service provider. MonitorBase processes public data available through government agencies and prescreened consumer reports that are regulated under the Fair Credit Reporting Act. ,1/16/2020
Lead411 Corporation,tom [at] lead411.io,http://lead411.com,"730 EVERGREEN AVE, BOULDER, CO 80304, United States",https://www.lead411.com/removeinforequest/.,No information posted online under Gov. Code sections 6208.1(b) or 6254.21(c)(1).,More information available at https://www.lead411.com/policy/.,1/22/2020
